item_number,domain_tag,domain_label,label_set,reverse_scored,question_text,example_text,option_0,option_3,option_5,option_8,option_10,changed_in_v2
1,CLEAR THINKING,Clear Thinking,frequency,FALSE,Can you clearly see your options when you have a big decision to make?,like choosing between a job with better pay or one with more flexibility,Not me at all,Occasionally,About half the time,Most of the time,Consistently — it's how I operate,FALSE
2,CLEAR THINKING,Clear Thinking,frequency,FALSE,Does your thinking stay organized when you're under time pressure?,a deadline crunch where your to-do list still makes sense,Not me at all,Occasionally,About half the time,Most of the time,Consistently — it's how I operate,FALSE
3,EMOTIONAL,Emotional Steadiness,frequency,FALSE,"When someone's upset with you, do you stay curious about why instead of getting defensive?",asking “what happened?” instead of “that's not fair”,Not me at all,Occasionally,About half the time,Most of the time,Consistently — it's how I operate,FALSE
4,EMOTIONAL,Emotional Steadiness,frequency,FALSE,Do you pause before acting on a strong emotional reaction?,a breath before firing back a reply,Not me at all,Occasionally,About half the time,Most of the time,Consistently — it's how I operate,FALSE
5,ADVERSITY,Adversity Recovery,frequency,FALSE,"When something goes badly wrong, are you back to functioning that same day?",a bad meeting doesn't take you out for the rest of the week,Not me at all,Occasionally,About half the time,Most of the time,Consistently — it's how I operate,FALSE
6,ADVERSITY,Adversity Recovery,frequency,FALSE,"After a rejection or failure, do you recover your motivation quickly?",a “no” doesn't stop you from trying again soon after,Not me at all,Occasionally,About half the time,Most of the time,Consistently — it's how I operate,FALSE
7,FRAME,Frame Control,frequency,FALSE,"In a tense conversation, do you set the tone instead of absorbing the other person's?",staying steady even when they're heated,Not me at all,Occasionally,About half the time,Most of the time,Consistently — it's how I operate,FALSE
8,FRAME,Frame Control,frequency,TRUE,Do you ever leave a conversation realizing you agreed to something you didn't actually want?,saying yes just to end an uncomfortable back-and-forth,Not me at all,Occasionally,About half the time,Most of the time,Consistently — it's how I operate,FALSE
9,LEARNING,Learning Agility,frequency,FALSE,"When new information contradicts what you believed, do you update your view quickly?",changing your plan once the data proves you wrong,Not me at all,Occasionally,About half the time,Most of the time,Consistently — it's how I operate,FALSE
10,LEARNING,Learning Agility,frequency,FALSE,"When your usual approach stops working, do you switch tactics quickly?",trying something new instead of repeating what isn't working,Not me at all,Occasionally,About half the time,Most of the time,Consistently — it's how I operate,FALSE
11,SITUATIONAL,Situational Awareness,frequency,FALSE,"Walking into a room, can you quickly read who's friendly, neutral, or against you?",sensing the room before anyone says a word,Not me at all,Occasionally,About half the time,Most of the time,Consistently — it's how I operate,FALSE
12,SITUATIONAL,Situational Awareness,frequency,FALSE,Do you tend to see problems coming before they actually arrive?,spotting a risk before it becomes a crisis,Not me at all,Occasionally,About half the time,Most of the time,Consistently — it's how I operate,FALSE
